Date,Close
2021-10-04,95.01000213623047
2021-10-05,95.5999984741211
2021-10-06,95.18000030517578
2021-10-07,97.5199966430664
2021-10-08,98.66999816894531
2021-10-11,102.29000091552734
2021-10-12,105.2699966430664
2021-10-13,106.0199966430664
2021-10-14,106.19999694824219
2021-10-15,105.11000061035156
2021-10-18,104.77999877929688
2021-10-19,108.27999877929688
2021-10-20,103.2300033569336
2021-10-21,106.29000091552734
2021-10-22,106.22000122070312
2021-10-25,109.04000091552734
2021-10-26,108.94000244140625
2021-10-27,110.2300033569336
2021-10-28,117.87999725341797
2021-10-29,119.58999633789062
2021-11-01,121.13999938964844
2021-11-02,118.6500015258789
2021-11-03,116.83000183105469
2021-11-04,116.66000366210938
2021-11-05,116.30999755859375
2021-11-08,115.02999877929688
2021-11-09,114.0999984741211
2021-11-10,110.98999786376953
2021-11-11,113.5999984741211
2021-11-12,110.91999816894531
2021-11-15,112.30999755859375
2021-11-16,104.48999786376953
2021-11-17,103.94000244140625
2021-11-18,103.43000030517578
2021-11-19,108.37000274658203
2021-11-22,108.16000366210938
2021-11-23,107.13999938964844
2021-11-24,108.27999877929688
2021-11-26,105.91999816894531
2021-11-29,106.8499984741211
2021-11-30,103.5999984741211
2021-12-01,101.63999938964844
2021-12-02,102.04000091552734
2021-12-03,98.25
2021-12-06,99.11000061035156
2021-12-07,101.19999694824219
2021-12-08,100.70999908447266
2021-12-09,96.63999938964844
2021-12-10,97.19999694824219
2021-12-13,97.06999969482422
2021-12-14,95.31999969482422
2021-12-15,95.18000030517578
2021-12-16,91.19999694824219
2021-12-17,93.16000366210938
2021-12-20,85.76000213623047
2021-12-21,89.12000274658203
2021-12-22,87.91999816894531
2021-12-23,87.37000274658203
2021-12-27,87.86000061035156
2021-12-28,87.3499984741211
2021-12-29,87.18000030517578
2021-12-30,88.04000091552734
2021-12-31,87.16000366210938
2022-01-03,88.58000183105469
2022-01-04,87.27999877929688
2022-01-05,83.51000213623047
2022-01-06,83.97000122070312
2022-01-07,84.68000030517578
2022-01-10,84.30000305175781
2022-01-11,84.44999694824219
2022-01-12,84.12000274658203
2022-01-13,82.77999877929688
2022-01-14,83.0199966430664
2022-01-18,81.5
2022-01-19,81.37000274658203
2022-01-20,81.48999786376953
2022-01-21,76.81999969482422
2022-01-24,77.93000030517578
2022-01-25,75.94000244140625
2022-01-26,76.37000274658203
2022-01-27,72.22000122070312
2022-01-28,73.41999816894531
2022-01-31,78.37999725341797
2022-02-01,77.69999694824219
2022-02-02,76.37000274658203
2022-02-03,71.27999877929688
2022-02-04,71.0
2022-02-07,69.73999786376953
2022-02-08,70.38999938964844
2022-02-09,74.16999816894531
2022-02-10,71.22000122070312
2022-02-11,69.30999755859375
2022-02-14,68.2300033569336
2022-02-15,72.0999984741211
2022-02-16,71.66999816894531
2022-02-17,69.94999694824219
2022-02-18,68.56999969482422
2022-02-22,65.8499984741211
2022-02-23,64.9000015258789
2022-02-24,69.04000091552734
2022-02-25,70.68000030517578
2022-02-28,75.29000091552734
2022-03-01,75.62000274658203
2022-03-02,69.51000213623047
2022-03-03,67.37000274658203
2022-03-04,71.8499984741211
2022-03-07,75.0
2022-03-08,79.5199966430664
2022-03-09,78.88999938964844
2022-03-10,76.5
2022-03-11,75.38999938964844
2022-03-14,71.98999786376953
2022-03-15,74.95999908447266
2022-03-16,77.58999633789062
2022-03-17,78.22000122070312
2022-03-18,77.5999984741211
2022-03-21,77.38999938964844
2022-03-22,79.08000183105469
2022-03-23,77.98999786376953
2022-03-24,79.52999877929688
2022-03-25,79.6500015258789
2022-03-28,84.08999633789062
2022-03-29,84.58999633789062
2022-03-30,81.94000244140625
2022-03-31,83.73999786376953
2022-04-01,84.01000213623047
2022-04-04,83.95999908447266
2022-04-05,80.33000183105469
2022-04-06,78.12999725341797
2022-04-07,78.54000091552734
2022-04-08,77.61000061035156
2022-04-11,78.86000061035156
2022-04-12,79.0999984741211
2022-04-13,79.69999694824219
2022-04-14,78.12000274658203
2022-04-18,78.66000366210938
2022-04-19,78.7300033569336
2022-04-20,76.93000030517578
2022-04-21,74.43000030517578
2022-04-22,72.37000274658203
2022-04-25,72.44999694824219
2022-04-26,71.44000244140625
2022-04-27,72.13999938964844
2022-04-28,72.26000213623047
2022-04-29,73.02999877929688
2022-05-02,73.63999938964844
2022-05-03,75.11000061035156
2022-05-04,78.69999694824219
2022-05-05,76.41000366210938
2022-05-06,72.13999938964844
2022-05-09,68.25
2022-05-10,67.58000183105469
2022-05-11,61.720001220703125
2022-05-12,61.400001525878906
2022-05-13,64.25
2022-05-16,62.77000045776367
2022-05-17,65.4000015258789
2022-05-18,65.36000061035156
2022-05-19,66.47000122070312
2022-05-20,65.7699966430664
2022-05-23,66.05999755859375
2022-05-24,64.58999633789062
2022-05-25,66.04000091552734
2022-05-26,68.08000183105469
2022-05-27,72.01000213623047
2022-05-31,70.61000061035156
2022-06-01,70.87000274658203
2022-06-02,74.23999786376953
2022-06-03,74.93000030517578
2022-06-06,71.98999786376953
2022-06-07,72.0
2022-06-08,71.69000244140625
2022-06-09,69.83000183105469
2022-06-10,68.0
2022-06-13,63.130001068115234
2022-06-14,61.95000076293945
2022-06-15,64.02999877929688
2022-06-16,62.0099983215332
2022-06-17,66.70999908447266
2022-06-21,68.19999694824219
2022-06-22,67.5999984741211
2022-06-23,69.5999984741211
2022-06-24,70.06999969482422
2022-06-27,70.62000274658203
2022-06-28,67.75
2022-06-29,66.83999633789062
2022-06-30,68.12999725341797
2022-07-01,68.1500015258789
2022-07-05,66.2300033569336
2022-07-06,66.16000366210938
2022-07-07,70.63999938964844
2022-07-08,72.51000213623047
2022-07-11,69.29000091552734
2022-07-12,68.41999816894531
2022-07-13,69.16000366210938
2022-07-14,71.04000091552734
2022-07-15,65.2699966430664
2022-07-18,67.01000213623047
2022-07-19,70.6500015258789
2022-07-20,72.9800033569336
2022-07-21,73.26000213623047
2022-07-22,72.58999633789062
2022-07-25,74.1500015258789
2022-07-26,73.56999969482422
2022-07-27,76.76000213623047
2022-07-28,88.5
2022-07-29,99.16999816894531
2022-08-01,99.48999786376953
2022-08-02,99.72000122070312
2022-08-03,97.88999938964844
2022-08-04,99.16999816894531
2022-08-05,101.9000015258789
2022-08-08,106.73999786376953
2022-08-09,109.01000213623047
2022-08-10,114.51000213623047
2022-08-11,114.58000183105469
2022-08-12,117.97000122070312
2022-08-15,118.22000122070312
2022-08-16,116.98999786376953
2022-08-17,116.30000305175781
2022-08-18,117.81999969482422
2022-08-19,115.41000366210938
2022-08-22,114.4800033569336
2022-08-23,114.41999816894531
2022-08-24,118.44000244140625
2022-08-25,121.69000244140625
2022-08-26,121.75
2022-08-29,121.69000244140625
2022-08-30,122.30999755859375
2022-08-31,127.55000305175781
2022-09-01,127.83999633789062
2022-09-02,126.41000366210938
2022-09-06,127.5999984741211
2022-09-07,134.8000030517578
2022-09-08,137.52999877929688
2022-09-09,135.82000732421875
2022-09-12,136.7899932861328
2022-09-13,136.75999450683594
2022-09-14,135.75999450683594
2022-09-15,132.02000427246094
2022-09-16,135.80999755859375
2022-09-19,137.0399932861328
2022-09-20,133.30999755859375
2022-09-21,135.57000732421875
2022-09-22,131.77000427246094
2022-09-23,129.85000610351562
2022-09-26,128.2100067138672
2022-09-27,132.30999755859375
2022-09-28,136.19000244140625
2022-09-29,130.92999267578125
2022-09-30,132.27000427246094
2022-10-03,136.6199951171875
2022-10-04,143.05999755859375
2022-10-05,134.58999633789062
2022-10-06,132.05999755859375
2022-10-07,129.4199981689453
2022-10-10,131.05999755859375
2022-10-11,131.32000732421875
2022-10-12,126.87999725341797
2022-10-13,126.54000091552734
2022-10-14,123.36000061035156
2022-10-17,118.27999877929688
2022-10-18,121.30999755859375
2022-10-19,120.20999908447266
2022-10-20,118.72000122070312
2022-10-21,122.5999984741211
2022-10-24,124.56999969482422
2022-10-25,127.1500015258789
2022-10-26,131.39999389648438
2022-10-27,131.17999267578125
2022-10-28,132.6699981689453
2022-10-31,145.57000732421875
2022-11-01,148.57000732421875
2022-11-02,150.07000732421875
2022-11-03,157.72999572753906
2022-11-04,153.6199951171875
2022-11-07,147.25
2022-11-08,147.25999450683594
2022-11-09,151.16000366210938
2022-11-10,157.02000427246094
2022-11-11,150.4199981689453
2022-11-14,153.6300048828125
2022-11-15,159.6300048828125
2022-11-16,158.5800018310547
2022-11-17,164.97999572753906
2022-11-18,166.60000610351562
2022-11-21,165.38999938964844
2022-11-22,167.66000366210938
2022-11-23,169.47000122070312
2022-11-25,171.42999267578125
2022-11-28,165.6199951171875
2022-11-29,161.80999755859375
2022-11-30,172.52999877929688
2022-12-01,168.5399932861328
2022-12-02,168.32000732421875
2022-12-05,167.13999938964844
2022-12-06,157.47000122070312
2022-12-07,154.74000549316406
2022-12-08,152.7100067138672
2022-12-09,150.9600067138672
2022-12-12,150.27999877929688
2022-12-13,157.0800018310547
2022-12-14,160.08999633789062
2022-12-15,159.41000366210938
2022-12-16,155.0800018310547
2022-12-19,156.77000427246094
2022-12-20,156.58999633789062
2022-12-21,162.05999755859375
2022-12-22,156.88999938964844
2022-12-23,156.75
2022-12-27,150.22000122070312
2022-12-28,146.1699981689453
2022-12-29,148.77999877929688
2022-12-30,149.7899932861328
2023-01-03,145.94000244140625
2023-01-04,146.77999877929688
2023-01-05,145.4600067138672
2023-01-06,156.8000030517578
2023-01-09,159.1699981689453
2023-01-10,171.00999450683594
2023-01-11,172.41000366210938
2023-01-12,178.85000610351562
2023-01-13,180.19000244140625
2023-01-17,177.60000610351562
2023-01-18,177.57000732421875
2023-01-19,165.00999450683594
2023-01-20,167.8699951171875
2023-01-23,176.2100067138672
2023-01-24,171.49000549316406
2023-01-25,168.25999450683594
2023-01-26,175.42999267578125
2023-01-27,179.35000610351562
2023-01-30,170.77999877929688
2023-01-31,177.60000610351562
2023-02-01,180.14999389648438
2023-02-02,168.6699981689453
2023-02-03,168.19000244140625
2023-02-06,167.47000122070312
2023-02-07,165.88999938964844
2023-02-08,165.5800018310547
2023-02-09,163.94000244140625
2023-02-10,163.3800048828125
2023-02-13,167.25999450683594
2023-02-14,165.0399932861328
2023-02-15,172.36000061035156
2023-02-16,165.00999450683594
2023-02-17,164.27999877929688
2023-02-21,160.99000549316406
2023-02-22,163.61000061035156
2023-02-23,165.5800018310547
2023-02-24,162.16000366210938
2023-02-27,166.11000061035156
2023-02-28,169.13999938964844
2023-03-01,195.67999267578125
2023-03-02,198.22000122070312
2023-03-03,210.11000061035156
2023-03-06,212.3000030517578
2023-03-07,214.2899932861328
2023-03-08,214.3300018310547
2023-03-09,211.25
2023-03-10,207.72999572753906
2023-03-13,203.5800018310547
2023-03-14,207.2899932861328
2023-03-15,203.22000122070312
2023-03-16,206.55999755859375
2023-03-17,199.6199951171875
2023-03-20,204.67999267578125
2023-03-21,209.25
2023-03-22,205.00999450683594
2023-03-23,210.19000244140625
2023-03-24,211.10000610351562
2023-03-27,210.13999938964844
2023-03-28,210.00999450683594
2023-03-29,215.35000610351562
2023-03-30,213.32000732421875
2023-03-31,217.5
2023-04-03,208.49000549316406
2023-04-04,208.13999938964844
2023-04-05,201.61000061035156
2023-04-06,204.50999450683594
2023-04-10,212.02999877929688
2023-04-11,210.02999877929688
2023-04-12,207.88999938964844
2023-04-13,211.25999450683594
2023-04-14,208.39999389648438
2023-04-17,218.88999938964844
2023-04-18,219.47999572753906
2023-04-19,218.19000244140625
2023-04-20,215.52999877929688
2023-04-21,216.88999938964844
2023-04-24,209.89999389648438
2023-04-25,210.52999877929688
2023-04-26,199.50999450683594
2023-04-27,200.8300018310547
2023-04-28,182.5800018310547
2023-05-01,180.85000610351562
2023-05-02,176.39999389648438
2023-05-03,174.3300018310547
2023-05-04,171.58999633789062
2023-05-05,178.60000610351562
2023-05-08,177.4600067138672
2023-05-09,178.0
2023-05-10,180.74000549316406
2023-05-11,183.19000244140625
2023-05-12,231.69000244140625
2023-05-15,221.58999633789062
2023-05-16,212.8000030517578
2023-05-17,209.75999450683594
2023-05-18,206.27999877929688
2023-05-19,203.52999877929688
2023-05-22,201.69000244140625
2023-05-23,200.88999938964844
2023-05-24,198.5500030517578
2023-05-25,200.94000244140625
2023-05-26,201.77000427246094
2023-05-30,202.39999389648438
2023-05-31,202.9600067138672
2023-06-01,208.74000549316406
2023-06-02,206.74000549316406
2023-06-05,203.6699981689453
2023-06-06,196.82000732421875
2023-06-07,191.75999450683594
2023-06-08,192.3300018310547
2023-06-09,192.0
2023-06-12,196.24000549316406
2023-06-13,195.99000549316406
2023-06-14,193.02999877929688
2023-06-15,192.8800048828125
2023-06-16,188.99000549316406
2023-06-20,186.10000610351562
2023-06-21,184.5800018310547
2023-06-22,187.0800018310547
2023-06-23,184.52000427246094
2023-06-26,178.5500030517578
2023-06-27,182.72999572753906
2023-06-28,184.22000122070312
2023-06-29,184.00999450683594
2023-06-30,190.08999633789062
2023-07-03,191.38999938964844
2023-07-05,186.9499969482422
2023-07-06,183.13999938964844
2023-07-07,189.13999938964844
2023-07-10,190.82000732421875
2023-07-11,189.6199951171875
2023-07-12,194.9600067138672
2023-07-13,196.9499969482422
2023-07-14,191.3000030517578
2023-07-17,206.7100067138672
2023-07-18,201.57000732421875
2023-07-19,198.5800018310547
2023-07-20,198.5
2023-07-21,197.91000366210938
2023-07-24,197.66000366210938
2023-07-25,200.00999450683594
2023-07-26,197.41000366210938
2023-07-27,198.8000030517578
2023-07-28,208.39999389648438
2023-07-31,207.39999389648438
2023-08-01,202.67999267578125
2023-08-02,194.27999877929688
2023-08-03,196.24000549316406
2023-08-04,194.3800048828125
2023-08-07,195.60000610351562
2023-08-08,196.10000610351562
2023-08-09,203.60000610351562
2023-08-10,205.00999450683594
2023-08-11,204.8699951171875
2023-08-14,211.42999267578125
2023-08-15,199.8300018310547
2023-08-16,191.88999938964844
2023-08-17,183.44000244140625
2023-08-18,181.91000366210938
2023-08-21,181.6999969482422
2023-08-22,176.5
2023-08-23,180.5800018310547
2023-08-24,174.4199981689453
2023-08-25,177.4499969482422
2023-08-28,176.75999450683594
2023-08-29,181.61000061035156
2023-08-30,184.9600067138672
2023-08-31,189.1199951171875
2023-09-01,186.3699951171875
2023-09-05,186.47999572753906
2023-09-06,182.08999633789062
2023-09-07,180.5
2023-09-08,183.2100067138672
2023-09-11,179.3699951171875
2023-09-12,180.94000244140625
2023-09-13,170.5
2023-09-14,177.0
2023-09-15,174.0500030517578
2023-09-18,167.74000549316406
2023-09-19,169.17999267578125
2023-09-20,169.24000549316406
2023-09-21,166.24000549316406
2023-09-22,162.4499969482422
2023-09-25,164.33999633789062
2023-09-26,161.38999938964844
2023-09-27,158.61000061035156
2023-09-28,161.5
2023-09-29,161.58999633789062
2023-10-02,156.33999633789062
2023-10-03,151.25
2023-10-04,151.82000732421875
2023-10-05,145.35000610351562
2023-10-06,148.55999755859375
2023-10-09,143.8000030517578
2023-10-10,151.55999755859375
2023-10-11,151.5
2023-10-12,149.38999938964844
2023-10-13,147.9199981689453
2023-10-16,151.2899932861328
2023-10-17,158.05999755859375
2023-10-18,153.1300048828125
2023-10-19,151.97000122070312
2023-10-20,150.77000427246094
2023-10-23,151.32000732421875
2023-10-24,155.89999389648438
2023-10-25,151.36000061035156
2023-10-26,151.14999389648438
2023-10-27,143.25999450683594
2023-10-30,136.32000732421875
2023-10-31,142.4499969482422
2023-11-01,142.83999633789062
2023-11-02,147.58999633789062
2023-11-03,151.94000244140625
2023-11-06,146.97000122070312
2023-11-07,144.3300018310547
2023-11-08,137.8300018310547
2023-11-09,132.52999877929688
2023-11-10,133.9199981689453
2023-11-13,133.83999633789062
2023-11-14,149.13999938964844
2023-11-15,152.4199981689453
2023-11-16,154.50999450683594
2023-11-17,155.02000427246094
2023-11-20,159.2899932861328
2023-11-21,158.60000610351562
2023-11-22,159.72000122070312
2023-11-24,154.3800048828125
2023-11-27,154.64999389648438
2023-11-28,155.02000427246094
2023-11-29,155.42999267578125
2023-11-30,157.77999877929688
2023-12-01,160.2899932861328
2023-12-04,159.5399932861328
2023-12-05,155.38999938964844
2023-12-06,145.2899932861328
2023-12-07,144.17999267578125
2023-12-08,145.3800048828125
2023-12-11,146.11000061035156
2023-12-12,139.89999389648438
2023-12-13,146.55999755859375
2023-12-14,158.25
2023-12-15,168.6699981689453
2023-12-18,165.94000244140625
2023-12-19,172.66000366210938
2023-12-20,164.60000610351562
2023-12-21,170.0399932861328
2023-12-22,170.38999938964844
2023-12-26,171.94000244140625
2023-12-27,172.44000244140625
2023-12-28,173.22000122070312
2023-12-29,172.27999877929688
2024-01-02,172.16000366210938
2024-01-03,167.4199981689453
2024-01-04,166.30999755859375
2024-01-05,166.8699951171875
2024-01-08,166.1300048828125
2024-01-09,166.91000366210938
2024-01-10,162.3300018310547
2024-01-11,160.2899932861328
2024-01-12,160.44000244140625
2024-01-16,149.10000610351562
2024-01-17,147.25999450683594
2024-01-18,147.4499969482422
2024-01-19,145.9199981689453
2024-01-22,149.91000366210938
2024-01-23,151.4600067138672
2024-01-24,148.8699951171875
2024-01-25,149.22999572753906
2024-01-26,147.8300018310547
2024-01-29,149.3000030517578
2024-01-30,149.02999877929688
2024-01-31,146.3000030517578
2024-02-01,147.88999938964844
2024-02-02,141.82000732421875
2024-02-05,139.8000030517578
2024-02-06,141.11000061035156
2024-02-07,145.4600067138672
2024-02-08,143.1699981689453
2024-02-09,151.5
2024-02-12,157.22000122070312
2024-02-13,152.33999633789062
2024-02-14,158.24000549316406
2024-02-15,159.77999877929688
2024-02-16,156.97999572753906
2024-02-20,153.25
2024-02-21,150.02999877929688
2024-02-22,144.72999572753906
2024-02-23,142.88999938964844
2024-02-26,144.5800018310547
2024-02-27,144.99000549316406
2024-02-28,149.25
2024-02-29,153.88999938964844
2024-03-01,158.0500030517578
2024-03-04,156.6999969482422
2024-03-05,159.05999755859375
2024-03-06,158.4199981689453
2024-03-07,160.35000610351562
2024-03-08,161.35000610351562
2024-03-11,162.16000366210938
2024-03-12,159.3800048828125
2024-03-13,158.0399932861328
2024-03-14,149.38999938964844
2024-03-15,147.4199981689453
2024-03-18,149.47999572753906
2024-03-19,147.47999572753906
2024-03-20,151.02000427246094
2024-03-21,152.67999267578125
2024-03-22,153.30999755859375
2024-03-25,154.77000427246094
2024-03-26,153.16000366210938
2024-03-27,167.4499969482422
2024-03-28,168.8000030517578
2024-04-01,171.8699951171875
2024-04-02,167.1699981689453
2024-04-03,166.72999572753906
2024-04-04,171.4600067138672
2024-04-05,174.60000610351562
2024-04-08,179.22000122070312
2024-04-09,184.6999969482422
2024-04-10,185.2899932861328
2024-04-11,184.44000244140625
2024-04-12,182.47999572753906
2024-04-15,175.9600067138672
2024-04-16,173.0800018310547
2024-04-17,178.00999450683594
2024-04-18,174.2899932861328
2024-04-19,175.0399932861328
2024-04-22,176.27999877929688
2024-04-23,180.10000610351562
2024-04-24,177.47999572753906
2024-04-25,175.02000427246094
2024-04-26,178.72999572753906
2024-04-29,180.8300018310547
2024-04-30,176.3000030517578
2024-05-01,177.5800018310547
2024-05-02,180.50999450683594
2024-05-03,191.5500030517578
2024-05-06,193.80999755859375
2024-05-07,194.6699981689453
2024-05-08,190.72000122070312
2024-05-09,193.61000061035156
2024-05-10,191.0500030517578
2024-05-13,189.5399932861328
2024-05-14,186.97000122070312
2024-05-15,191.92999267578125
2024-05-16,194.6199951171875
2024-05-17,197.58999633789062
2024-05-20,196.33999633789062
2024-05-21,212.11000061035156
2024-05-22,251.75
2024-05-23,249.80999755859375
2024-05-24,276.739990234375
2024-05-28,280.1600036621094
2024-05-29,278.19000244140625
2024-05-30,276.7799987792969
2024-05-31,271.760009765625
2024-06-03,272.7200012207031
2024-06-04,266.1700134277344
2024-06-05,273.05999755859375
2024-06-06,273.45001220703125
2024-06-07,267.3399963378906
2024-06-10,279.79998779296875
2024-06-11,294.5299987792969
2024-06-12,300.7099914550781
2024-06-13,291.55999755859375
2024-06-14,273.6099853515625
2024-06-17,261.3299865722656
2024-06-18,262.3699951171875
2024-06-20,260.07000732421875
2024-06-21,258.8699951171875
2024-06-24,261.2799987792969
2024-06-25,256.739990234375
2024-06-26,247.92999267578125
2024-06-27,249.9199981689453
2024-06-28,225.4600067138672
2024-07-01,222.7100067138672
2024-07-02,216.72999572753906
2024-07-03,231.11000061035156
2024-07-05,222.1199951171875
2024-07-08,227.1199951171875
2024-07-09,225.22999572753906
2024-07-10,228.57000732421875
2024-07-11,233.4499969482422
2024-07-12,233.24000549316406
2024-07-15,213.4199981689453
2024-07-16,221.25
2024-07-17,208.1699981689453
2024-07-18,213.5800018310547
2024-07-19,216.42999267578125
2024-07-22,220.24000549316406
2024-07-23,223.00999450683594
2024-07-24,221.3300018310547
2024-07-25,216.19000244140625
2024-07-26,226.74000549316406
2024-07-29,220.39999389648438
2024-07-30,210.88999938964844
2024-07-31,215.99000549316406
2024-08-01,218.5
2024-08-02,213.0500030517578
2024-08-05,207.08999633789062
2024-08-06,210.4499969482422
2024-08-07,208.75999450683594
2024-08-08,213.1300048828125
2024-08-09,211.8000030517578
2024-08-12,219.22999572753906
2024-08-13,230.27000427246094
2024-08-14,225.5399932861328
2024-08-15,229.5800018310547
2024-08-16,225.39999389648438
2024-08-19,228.3800048828125
2024-08-20,220.1999969482422
2024-08-21,222.6300048828125
2024-08-22,218.25999450683594
2024-08-23,231.07000732421875
2024-08-26,233.19000244140625
2024-08-27,235.4199981689453
2024-08-28,228.57000732421875
2024-08-29,223.10000610351562
2024-08-30,227.3699951171875
2024-09-03,212.74000549316406
2024-09-04,215.39999389648438
2024-09-05,214.75999450683594
2024-09-06,208.64999389648438
2024-09-09,205.36000061035156
2024-09-10,208.22000122070312
2024-09-11,239.83999633789062
2024-09-12,235.9499969482422
2024-09-13,228.7899932861328
2024-09-16,233.30999755859375
2024-09-17,239.97999572753906
2024-09-18,241.80999755859375
2024-09-19,240.4499969482422
2024-09-20,240.1999969482422
2024-09-23,249.27999877929688
2024-09-24,244.72999572753906
2024-09-25,241.72000122070312
2024-09-26,255.66000366210938
2024-09-27,255.75
2024-09-30,249.44000244140625
2024-10-01,240.66000366210938
2024-10-02,234.44000244140625
2024-10-03,235.1199951171875
2024-10-04,231.1300048828125
2024-10-07,229.6199951171875
2024-10-08,225.63999938964844
2024-10-09,226.0500030517578
2024-10-10,205.0399932861328
2024-10-11,211.49000549316406
2024-10-14,209.9600067138672
2024-10-15,201.97999572753906
2024-10-16,205.6199951171875
2024-10-17,203.3699951171875
2024-10-18,200.5500030517578
2024-10-21,196.25
2024-10-22,201.39999389648438
2024-10-23,192.41000366210938
2024-10-24,196.0399932861328
2024-10-25,198.47000122070312
2024-10-28,205.02999877929688
2024-10-29,199.6699981689453
2024-10-30,197.5
2024-10-31,194.47999572753906
2024-11-01,204.94000244140625
2024-11-04,212.27999877929688
2024-11-05,215.88999938964844
2024-11-06,194.02000427246094
2024-11-07,196.6999969482422
2024-11-08,193.92999267578125
2024-11-11,193.8300018310547
2024-11-12,182.25999450683594
2024-11-13,182.1300048828125
2024-11-14,195.13999938964844
2024-11-15,190.4499969482422
2024-11-18,195.55999755859375
2024-11-19,187.36000061035156
2024-11-20,184.83999633789062
2024-11-21,181.9499969482422
2024-11-22,186.0500030517578
2024-11-25,192.82000732421875
2024-11-26,192.32000732421875
2024-11-27,192.57000732421875
2024-11-29,199.27000427246094
2024-12-02,207.9199981689453
2024-12-03,207.50999450683594
2024-12-04,201.57000732421875
2024-12-05,197.92999267578125
2024-12-06,194.19000244140625
2024-12-09,200.0
2024-12-10,202.9199981689453
2024-12-11,201.0
2024-12-12,196.32000732421875
2024-12-13,199.6699981689453
2024-12-16,190.52999877929688
2024-12-17,188.27000427246094
2024-12-18,184.27000427246094
2024-12-19,175.8800048828125
2024-12-20,182.38999938964844
2024-12-23,186.36000061035156
2024-12-24,186.2100067138672
2024-12-26,183.7100067138672
2024-12-27,182.6300048828125
2024-12-30,178.07000732421875
2024-12-31,176.24000549316406
2025-01-02,186.47000122070312
2025-01-03,186.42999267578125
2025-01-06,191.27000427246094
2025-01-07,197.72999572753906
2025-01-08,191.1300048828125
2025-01-10,189.24000549316406
2025-01-13,183.61000061035156
2025-01-14,185.35000610351562
2025-01-15,186.82000732421875
2025-01-16,190.88999938964844
2025-01-17,192.8800048828125
2025-01-21,183.50999450683594
2025-01-22,171.89999389648438
2025-01-23,174.11000061035156
2025-01-24,168.25
2025-01-27,164.30999755859375
2025-01-28,160.24000549316406
2025-01-29,166.00999450683594
2025-01-30,167.38999938964844
2025-01-31,167.52000427246094
2025-02-03,167.19000244140625
2025-02-04,166.22999572753906
2025-02-05,162.3699951171875
2025-02-06,167.6699981689453
2025-02-07,168.33999633789062
2025-02-10,162.88999938964844
2025-02-11,161.60000610351562
2025-02-12,158.61000061035156
2025-02-13,160.33999633789062
2025-02-14,159.75999450683594
2025-02-18,162.8699951171875
2025-02-19,162.5
2025-02-20,164.08999633789062
2025-02-21,155.44000244140625
2025-02-24,152.91000366210938
2025-02-25,147.4600067138672
2025-02-26,156.83999633789062
2025-02-27,141.17999267578125
2025-02-28,136.17999267578125
2025-03-03,127.62999725341797
2025-03-04,131.22999572753906
2025-03-05,130.89999389648438
2025-03-06,131.1300048828125
2025-03-07,139.1300048828125
2025-03-10,133.11000061035156
2025-03-11,139.10000610351562
2025-03-12,136.0399932861328
2025-03-13,132.80999755859375
2025-03-14,132.50999450683594
2025-03-17,133.02999877929688
2025-03-18,127.33999633789062
2025-03-19,129.33999633789062
2025-03-20,128.4600067138672
2025-03-21,131.32000732421875
2025-03-24,128.82000732421875
2025-03-25,131.4600067138672
2025-03-26,126.33999633789062
2025-03-27,126.5999984741211
2025-03-28,127.31999969482422
2025-03-31,126.43000030517578
2025-04-01,127.56999969482422
2025-04-02,129.82000732421875
2025-04-03,136.22999572753906
2025-04-04,128.69000244140625
2025-04-07,130.0500030517578
2025-04-08,120.37999725341797
2025-04-09,129.6300048828125
2025-04-10,122.19000244140625
2025-04-11,125.93000030517578
2025-04-14,131.25999450683594
2025-04-15,126.81999969482422
2025-04-16,124.37999725341797
2025-04-17,127.9800033569336
2025-04-21,122.44999694824219
2025-04-22,135.35000610351562
2025-04-23,131.10000610351562
2025-04-24,136.44000244140625
2025-04-25,141.86000061035156
2025-04-28,140.72999572753906
2025-04-29,137.24000549316406
2025-04-30,125.81999969482422
2025-05-01,126.56999969482422
2025-05-02,130.5399932861328
2025-05-05,127.16000366210938
2025-05-06,126.76000213623047
2025-05-07,129.77999877929688
2025-05-08,133.75999450683594
2025-05-09,140.67999267578125
2025-05-12,156.2100067138672
2025-05-13,191.60000610351562
2025-05-14,192.97999572753906
2025-05-15,186.17999267578125
2025-05-16,178.4600067138672
2025-05-19,164.9199981689453
2025-05-20,167.22000122070312
2025-05-21,163.3699951171875
2025-05-22,156.35000610351562
2025-05-23,158.3800048828125
2025-05-27,155.72999572753906
2025-05-28,156.4499969482422
2025-05-29,155.9499969482422
2025-05-30,158.0800018310547
2025-06-02,149.64999389648438
2025-06-03,159.3699951171875
2025-06-04,159.80999755859375
2025-06-05,163.83999633789062
2025-06-06,166.35000610351562
2025-06-09,160.16000366210938
2025-06-10,164.6199951171875
2025-06-11,167.86000061035156
2025-06-12,167.8300018310547
2025-06-13,175.1999969482422
2025-06-16,175.25
2025-06-17,143.89999389648438
2025-06-18,143.6699981689453
2025-06-20,145.0
2025-06-23,144.6699981689453
2025-06-24,151.17999267578125
2025-06-25,152.6999969482422
2025-06-26,155.6300048828125
2025-06-27,152.13999938964844
2025-06-30,165.5399932861328
2025-07-01,162.9600067138672
2025-07-02,170.52000427246094
2025-07-03,185.02999877929688
2025-07-07,177.05999755859375
2025-07-08,165.47999572753906
2025-07-09,165.99000549316406
